
Processing convert.C(0)...
3087155

SSD_20u_1_cal
-0.51425 0.00537592
-0.434675 0.00546631
-0.523842 0.00539819
-0.459554 0.0054945
-0.518012 0.00546505

SSD_20u_4_cal
-0.429426 0.00554314
-0.507814 0.00533495
-0.426613 0.00541685
-0.509929 0.00542697
-0.447364 0.00540064
-0.50992 0.00530359
-0.435846 0.0052439
-0.501886 0.00542999
-0.400334 0.00552919
-0.516729 0.00528576
-0.430716 0.00547157
-0.494713 0.00545912
-0.402934 0.00552494
-0.51776 0.00535212
-0.415836 0.00540978
-0.508788 0.00533786

SSD_1m_1_cal
-0.28063 0.016991
-0.358519 0.0168852
-0.274596 0.0166953
-0.359218 0.0165316
-0.371068 0.016685
-0.374784 0.0166246
-0.332944 0.0168164
-0.253536 0.0164574
-0.410906 0.0167311
-0.249098 0.016946
-0.267577 0.0169998
-0.266803 0.0171235
-0.282513 0.0169848
-0.247663 0.0170781
-0.33244 0.0167768
-0.32896 0.016454

SSD_1m_2_cal
-0.261645 0.0168284
-0.202059 0.0169429
-0.231461 0.0165284
-0.242738 0.0168517
-0.329976 0.0164226
-0.249156 0.0170828
-0.286248 0.0170637
-0.272569 0.0164838
-0.312436 0.0168502
-0.163053 0.0161242
-0.261383 0.0169825
-0.225717 0.0172969
-0.22544 0.0169968
-0.217475 0.0168498
-0.261293 0.0168017
-0.25872 0.0168864

SSD_1m_3_cal
-0.164613 0.0166361
-0.186179 0.0164709
-0.233468 0.0164562
-0.214921 0.0168272
-0.247771 0.0168905
-0.188983 0.0168703
-0.19481 0.0168585
-0.169724 0.0169151
-0.149626 0.0171311
-0.155567 0.0172317
-0.193725 0.0170457
-0.163288 0.0170956
-0.213558 0.0168699
-0.137792 0.0167006
-0.258191 0.0170729
-0.154018 0.0168823

SSD_1m_4_cal
-0.350182 0.0170346
-0.299303 0.0170039
-0.282565 0.0172273
-0.28416 0.0168919
-0.402601 0.0169744
-0.294598 0.0169753
-0.353287 0.0169175
-0.297581 0.0171144
-0.314189 0.0166639
-0.375254 0.0167975
-0.33402 0.0167506
-0.402818 0.0172181
-0.376027 0.0168614
-0.295243 0.0171862
-0.319736 0.0165366
-0.282701 0.0167336

SSD_1m_1_v_cal
-0.381603 0.0169253
-0.276913 0.0167437
-0.340233 0.0168164
-0.345248 0.0165962
-0.453398 0.0167562
-0.346522 0.0162921
-0.322378 0.0165984
-0.334579 0.0162916
-0.368118 0.0167362
-0.284456 0.0166454
-0.249476 0.0170175
-0.311625 0.0169303
-0.511272 0.0170644
-0.459518 0.0170488
-0.451947 0.0168955
-0.349256 0.0163669

SSD_1m_2_v_cal
-0.379585 0.0184335
-0.367087 0.0182846
-0.336593 0.0184492
-0.386087 0.017989
-0.397548 0.0185608
-0.30605 0.0174199
-0.326701 0.0177746
-0.333809 0.0180194
-0.290968 0.018293
-0.22402 0.0178918
-0.396301 0.0181148
-0.359078 0.018633
-0.343399 0.0185484
-0.235419 0.0182107
-0.418628 0.0178711
-0.279272 0.0183131

SSD_1m_3_v_cal
-0.201432 0.0180748
-0.187653 0.0183534
-0.119684 0.0182542
-0.166074 0.017833
-0.22084 0.0181732
-0.167595 0.0182718
-0.211933 0.0180248
-0.25221 0.0182872
-0.288987 0.0176375
-0.148264 0.0180396
-0.296991 0.0178977
-0.198245 0.0182729
-0.308702 0.0181239
-0.236746 0.0185076
-0.331567 0.0176029
-0.243524 0.0179328

SSD_1m_4_v_cal
-0.245335 0.017316
-0.141732 0.0172849
-0.22269 0.0170268
-0.202244 0.0171589
-0.16189 0.0167221
-0.192807 0.0164759
-0.17457 0.0172376
-0.146969 0.0171275
-0.132641 0.0170133
-0.212382 0.0171969
-0.167281 0.0169875
-0.230786 0.0169147
-0.190044 0.017288
-0.184081 0.0172868
-0.241424 0.0173537
-0.217635 0.0167972

DSSD_X
-1.82454 0.0266041
-2.52842 0.0262343
-1.82766 0.026077
-2.4278 0.0261799
-1.86497 0.0264834
-2.45032 0.0263937
-1.76521 0.0264096
-2.37383 0.02654
-1.65763 0.0262378
-2.48122 0.0267695
-1.77703 0.0266837
-2.37331 0.0262219
-1.78016 0.0263266
-2.34363 0.0260159
-1.77278 0.0264676
-2.32183 0.0263167
-1.98431 0.0264657
-1.95563 0.0268635
-1.92868 0.0264204
-1.97523 0.0259145
-1.93936 0.026455
-1.95543 0.0262513
-2.1056 0.0265343
-1.98184 0.0263721
-2.08884 0.0264901
-2.32668 0.0264306
-1.95797 0.0261348
-2.20452 0.0264075
-2.05383 0.026273
-2.27615 0.0266038
-1.95871 0.0261931
-2.18658 0.0263591

DSSD_Y
-1.99595 0.0263301
-2.56867 0.0254643
-1.90578 0.0257128
-2.47086 0.0261701
-1.97833 0.0260883
-2.53473 0.0263007
-2.04131 0.025761
-2.425 0.0254836
-1.95969 0.0260063
-2.60569 0.0259265
-2.00564 0.0259138
-2.5961 0.0263018
-2.00149 0.0260347
-2.5054 0.0262238
-1.97797 0.0258458
-2.5401 0.0258688
-2.13436 0.0296261
-2.87177 0.0292659
-2.13785 0.0291161
-2.82274 0.0295024
-2.17027 0.0297244
-2.74565 0.0294415
-2.17653 0.0295326
-2.84588 0.02993
-2.05918 0.0294984
-2.6808 0.0298281
-2.24913 0.0292162
-2.72283 0.0302101
-2.15602 0.0288843
-2.66398 0.0298161
-2.39388 0.0306712
-2.71827 0.0303698

CsI_anh
-9.7983 0.0651237
-8.37597 0.0626644
-9.05089 0.0722464
-8.53131 0.051877
-6.87774 0.0417159
-6.98073 0.0515219
-8.22801 0.0653728
-6.34346 0.0515724
-8.29801 0.0623762
-6.88752 0.0543419
-6.32024 0.0738955
-8.57259 0.0761275
-7.69296 0.0591428
-6.42924 0.0481967
-4.93938 0.0549386
-10.0491 0.0615834

ND_tac
0 0
-366.8 0
-387.74 0
-548.402 0
-393.957 0
-238.613 0
-277.737 0
-200.494 0
-517.05 0
-424.097 0
-482.394 0
-269.368 0
-326.418 0
-354.412 0
-600.092 0
-584.381 0
-476.01 0
-568.074 0
-411.546 0
-607.237 0
-786.578 0
-628.845 0
-755.346 0
-752.551 0
-781.567 0
-659.678 0
-674.349 0
-744.78 0
-599.454 0
-587.252 0
-678.671 0
-642.764 0
#Event 0#
#Event 1000000#
#Event 2000000#
#Event 3000000#

Processing convert.C(0)...
3087155

SSD_20u_1_cal
-0.0550137 0.00506627
-0.0550455 0.00505901
-0.0709798 0.00519047
-0.0415579 0.00509302
-0.0770133 0.00520501
-0.0639775 0.00511345
-0.0916415 0.00511103
-0.0736204 0.00506119
-0.0817792 0.00512471
-0.0649656 0.00511707
-0.0987455 0.00519184
-0.0926515 0.00518331
-0.116058 0.00513426
-0.0928607 0.00522422
-0.122551 0.00518679
-0.0968806 0.00523968

SSD_20u_2_cal
-0.0438384 0.005255
-0.0762901 0.00523327
-0.0827158 0.00528073
-0.0777931 0.00556245
-0.0847164 0.00531737
-0.0772881 0.00541351
-0.081893 0.00527107
-0.0796187 0.00530604
-0.0867263 0.00535764
-0.0819524 0.00541279
-0.0865734 0.00538945
-0.0807438 0.00544973
-0.0861575 0.00540311
-0.0739142 0.00529623
-0.0867608 0.00535145
-0.07987 0.00533976

SSD_20u_3_cal
-0.45634 0.00524382
-0.570265 0.0053745
-0.435512 0.00530447
-0.525774 0.00526106
-0.444624 0.00531035
-0.543314 0.00533111
-0.428966 0.00522641
-0.497069 0.00513996
-0.433819 0.00529167
-0.548819 0.00533306
-0.437797 0.00522203
-0.51425 0.00537592
-0.434675 0.00546631
-0.523842 0.00539819
-0.459554 0.0054945
-0.518012 0.00546505

SSD_20u_4_cal
-0.429426 0.00554314
-0.507814 0.00533495
-0.426613 0.00541685
-0.509929 0.00542697
-0.447364 0.00540064
-0.50992 0.00530359
-0.435846 0.0052439
-0.501886 0.00542999
-0.400334 0.00552919
-0.516729 0.00528576
-0.430716 0.00547157
-0.494713 0.00545912
-0.402934 0.00552494
-0.51776 0.00535212
-0.415836 0.00540978
-0.508788 0.00533786

SSD_1m_1_cal
-0.28063 0.016991
-0.358519 0.0168852
-0.274596 0.0166953
-0.359218 0.0165316
-0.371068 0.016685
-0.374784 0.0166246
-0.332944 0.0168164
-0.253536 0.0164574
-0.410906 0.0167311
-0.249098 0.016946
-0.267577 0.0169998
-0.266803 0.0171235
-0.282513 0.0169848
-0.247663 0.0170781
-0.33244 0.0167768
-0.32896 0.016454

SSD_1m_2_cal
-0.261645 0.0168284
-0.202059 0.0169429
-0.231461 0.0165284
-0.242738 0.0168517
-0.329976 0.0164226
-0.249156 0.0170828
-0.286248 0.0170637
-0.272569 0.0164838
-0.312436 0.0168502
-0.163053 0.0161242
-0.261383 0.0169825
-0.225717 0.0172969
-0.22544 0.0169968
-0.217475 0.0168498
-0.261293 0.0168017
-0.25872 0.0168864

SSD_1m_3_cal
-0.164613 0.0166361
-0.186179 0.0164709
-0.233468 0.0164562
-0.214921 0.0168272
-0.247771 0.0168905
-0.188983 0.0168703
-0.19481 0.0168585
-0.169724 0.0169151
-0.149626 0.0171311
-0.155567 0.0172317
-0.193725 0.0170457
-0.163288 0.0170956
-0.213558 0.0168699
-0.137792 0.0167006
-0.258191 0.0170729
-0.154018 0.0168823

SSD_1m_4_cal
-0.350182 0.0170346
-0.299303 0.0170039
-0.282565 0.0172273
-0.28416 0.0168919
-0.402601 0.0169744
-0.294598 0.0169753
-0.353287 0.0169175
-0.297581 0.0171144
-0.314189 0.0166639
-0.375254 0.0167975
-0.33402 0.0167506
-0.402818 0.0172181
-0.376027 0.0168614
-0.295243 0.0171862
-0.319736 0.0165366
-0.282701 0.0167336

SSD_1m_1_v_cal
-0.381603 0.0169253
-0.276913 0.0167437
-0.340233 0.0168164
-0.345248 0.0165962
-0.453398 0.0167562
-0.346522 0.0162921
-0.322378 0.0165984
-0.334579 0.0162916
-0.368118 0.0167362
-0.284456 0.0166454
-0.249476 0.0170175
-0.311625 0.0169303
-0.511272 0.0170644
-0.459518 0.0170488
-0.451947 0.0168955
-0.349256 0.0163669

SSD_1m_2_v_cal
-0.379585 0.0184335
-0.367087 0.0182846
-0.336593 0.0184492
-0.386087 0.017989
-0.397548 0.0185608
-0.30605 0.0174199
-0.326701 0.0177746
-0.333809 0.0180194
-0.290968 0.018293
-0.22402 0.0178918
-0.396301 0.0181148
-0.359078 0.018633
-0.343399 0.0185484
-0.235419 0.0182107
-0.418628 0.0178711
-0.279272 0.0183131

SSD_1m_3_v_cal
-0.201432 0.0180748
-0.187653 0.0183534
-0.119684 0.0182542
-0.166074 0.017833
-0.22084 0.0181732
-0.167595 0.0182718
-0.211933 0.0180248
-0.25221 0.0182872
-0.288987 0.0176375
-0.148264 0.0180396
-0.296991 0.0178977
-0.198245 0.0182729
-0.308702 0.0181239
-0.236746 0.0185076
-0.331567 0.0176029
-0.243524 0.0179328

SSD_1m_4_v_cal
-0.245335 0.017316
-0.141732 0.0172849
-0.22269 0.0170268
-0.202244 0.0171589
-0.16189 0.0167221
-0.192807 0.0164759
-0.17457 0.0172376
-0.146969 0.0171275
-0.132641 0.0170133
-0.212382 0.0171969
-0.167281 0.0169875
-0.230786 0.0169147
-0.190044 0.017288
-0.184081 0.0172868
-0.241424 0.0173537
-0.217635 0.0167972

DSSD_X
-1.82454 0.0266041
-2.52842 0.0262343
-1.82766 0.026077
-2.4278 0.0261799
-1.86497 0.0264834
-2.45032 0.0263937
-1.76521 0.0264096
-2.37383 0.02654
-1.65763 0.0262378
-2.48122 0.0267695
-1.77703 0.0266837
-2.37331 0.0262219
-1.78016 0.0263266
-2.34363 0.0260159
-1.77278 0.0264676
-2.32183 0.0263167
-1.98431 0.0264657
-1.95563 0.0268635
-1.92868 0.0264204
-1.97523 0.0259145
-1.93936 0.026455
-1.95543 0.0262513
-2.1056 0.0265343
-1.98184 0.0263721
-2.08884 0.0264901
-2.32668 0.0264306
-1.95797 0.0261348
-2.20452 0.0264075
-2.05383 0.026273
-2.27615 0.0266038
-1.95871 0.0261931
-2.18658 0.0263591

DSSD_Y
-1.99595 0.0263301
-2.56867 0.0254643
-1.90578 0.0257128
-2.47086 0.0261701
-1.97833 0.0260883
-2.53473 0.0263007
-2.04131 0.025761
-2.425 0.0254836
-1.95969 0.0260063
-2.60569 0.0259265
-2.00564 0.0259138
-2.5961 0.0263018
-2.00149 0.0260347
-2.5054 0.0262238
-1.97797 0.0258458
-2.5401 0.0258688
-2.13436 0.0296261
-2.87177 0.0292659
-2.13785 0.0291161
-2.82274 0.0295024
-2.17027 0.0297244
-2.74565 0.0294415
-2.17653 0.0295326
-2.84588 0.02993
-2.05918 0.0294984
-2.6808 0.0298281
-2.24913 0.0292162
-2.72283 0.0302101
-2.15602 0.0288843
-2.66398 0.0298161
-2.39388 0.0306712
-2.71827 0.0303698

CsI_anh
-9.7983 0.0651237
-8.37597 0.0626644
-9.05089 0.0722464
-8.53131 0.051877
-6.87774 0.0417159
-6.98073 0.0515219
-8.22801 0.0653728
-6.34346 0.0515724
-8.29801 0.0623762
-6.88752 0.0543419
-6.32024 0.0738955
-8.57259 0.0761275
-7.69296 0.0591428
-6.42924 0.0481967
-4.93938 0.0549386
-10.0491 0.0615834

ND_tac
0 0
-366.8 0
-387.74 0
-548.402 0
-393.957 0
-238.613 0
-277.737 0
-200.494 0
-517.05 0
-424.097 0
-482.394 0
-269.368 0
-326.418 0
-354.412 0
-600.092 0
-584.381 0
-476.01 0
-568.074 0
-411.546 0
-607.237 0
-786.578 0
-628.845 0
-755.346 0
-752.551 0
-781.567 0
-659.678 0
-674.349 0
-744.78 0
-599.454 0
-587.252 0
-678.671 0
-642.764 0
#Event 0#
#Event 1000000#
#Event 2000000#
#Event 3000000#

Processing convert.C(0)...
31573672

SSD_20u_1_cal
-0.0550137 0.00506627
-0.0550455 0.00505901
-0.0709798 0.00519047
-0.0415579 0.00509302
-0.0770133 0.00520501
-0.0639775 0.00511345
-0.0916415 0.00511103
-0.0736204 0.00506119
-0.0817792 0.00512471
-0.0649656 0.00511707
-0.0987455 0.00519184
-0.0926515 0.00518331
-0.116058 0.00513426
-0.0928607 0.00522422
-0.122551 0.00518679
-0.0968806 0.00523968

SSD_20u_2_cal
-0.0438384 0.005255
-0.0762901 0.00523327
-0.0827158 0.00528073
-0.0777931 0.00556245
-0.0847164 0.00531737
-0.0772881 0.00541351
-0.081893 0.00527107
-0.0796187 0.00530604
-0.0867263 0.00535764
-0.0819524 0.00541279
-0.0865734 0.00538945
-0.0807438 0.00544973
-0.0861575 0.00540311
-0.0739142 0.00529623
-0.0867608 0.00535145
-0.07987 0.00533976

SSD_20u_3_cal
-0.45634 0.00524382
-0.570265 0.0053745
-0.435512 0.00530447
-0.525774 0.00526106
-0.444624 0.00531035
-0.543314 0.00533111
-0.428966 0.00522641
-0.497069 0.00513996
-0.433819 0.00529167
-0.548819 0.00533306
-0.437797 0.00522203
-0.51425 0.00537592
-0.434675 0.00546631
-0.523842 0.00539819
-0.459554 0.0054945
-0.518012 0.00546505

SSD_20u_4_cal
-0.429426 0.00554314
-0.507814 0.00533495
-0.426613 0.00541685
-0.509929 0.00542697
-0.447364 0.00540064
-0.50992 0.00530359
-0.435846 0.0052439
-0.501886 0.00542999
-0.400334 0.00552919
-0.516729 0.00528576
-0.430716 0.00547157
-0.494713 0.00545912
-0.402934 0.00552494
-0.51776 0.00535212
-0.415836 0.00540978
-0.508788 0.00533786

SSD_1m_1_cal
-0.28063 0.016991
-0.358519 0.0168852
-0.274596 0.0166953
-0.359218 0.0165316
-0.371068 0.016685
-0.374784 0.0166246
-0.332944 0.0168164
-0.253536 0.0164574
-0.410906 0.0167311
-0.249098 0.016946
-0.267577 0.0169998
-0.266803 0.0171235
-0.282513 0.0169848
-0.247663 0.0170781
-0.33244 0.0167768
-0.32896 0.016454

SSD_1m_2_cal
-0.261645 0.0168284
-0.202059 0.0169429
-0.231461 0.0165284
-0.242738 0.0168517
-0.329976 0.0164226
-0.249156 0.0170828
-0.286248 0.0170637
-0.272569 0.0164838
-0.312436 0.0168502
-0.163053 0.0161242
-0.261383 0.0169825
-0.225717 0.0172969
-0.22544 0.0169968
-0.217475 0.0168498
-0.261293 0.0168017
-0.25872 0.0168864

SSD_1m_3_cal
-0.164613 0.0166361
-0.186179 0.0164709
-0.233468 0.0164562
-0.214921 0.0168272
-0.247771 0.0168905
-0.188983 0.0168703
-0.19481 0.0168585
-0.169724 0.0169151
-0.149626 0.0171311
-0.155567 0.0172317
-0.193725 0.0170457
-0.163288 0.0170956
-0.213558 0.0168699
-0.137792 0.0167006
-0.258191 0.0170729
-0.154018 0.0168823

SSD_1m_4_cal
-0.350182 0.0170346
-0.299303 0.0170039
-0.282565 0.0172273
-0.28416 0.0168919
-0.402601 0.0169744
-0.294598 0.0169753
-0.353287 0.0169175
-0.297581 0.0171144
-0.314189 0.0166639
-0.375254 0.0167975
-0.33402 0.0167506
-0.402818 0.0172181
-0.376027 0.0168614
-0.295243 0.0171862
-0.319736 0.0165366
-0.282701 0.0167336

SSD_1m_1_v_cal
-0.381603 0.0169253
-0.276913 0.0167437
-0.340233 0.0168164
-0.345248 0.0165962
-0.453398 0.0167562
-0.346522 0.0162921
-0.322378 0.0165984
-0.334579 0.0162916
-0.368118 0.0167362
-0.284456 0.0166454
-0.249476 0.0170175
-0.311625 0.0169303
-0.511272 0.0170644
-0.459518 0.0170488
-0.451947 0.0168955
-0.349256 0.0163669

SSD_1m_2_v_cal
-0.379585 0.0184335
-0.367087 0.0182846
-0.336593 0.0184492
-0.386087 0.017989
-0.397548 0.0185608
-0.30605 0.0174199
-0.326701 0.0177746
-0.333809 0.0180194
-0.290968 0.018293
-0.22402 0.0178918
-0.396301 0.0181148
-0.359078 0.018633
-0.343399 0.0185484
-0.235419 0.0182107
-0.418628 0.0178711
-0.279272 0.0183131

SSD_1m_3_v_cal
-0.201432 0.0180748
-0.187653 0.0183534
-0.119684 0.0182542
-0.166074 0.017833
-0.22084 0.0181732
-0.167595 0.0182718
-0.211933 0.0180248
-0.25221 0.0182872
-0.288987 0.0176375
-0.148264 0.0180396
-0.296991 0.0178977
-0.198245 0.0182729
-0.308702 0.0181239
